Abridged File Name,Recommendation,Title,Date,Box: Folder,Notes,,
loose_0001,Good for digital collection,Partial Chicago Cafe menu: China Dishes,,1:2,,,
loose_0002,Good for digital collection,"""75 years ago"" article clipping",,1:2,,,
loose_0003,Good for digital collection,Chicago Cafe menu,,1:2,1920s - 1940s based on address and phone number,,
loose_0004,OK for collection,,,1:4,,,
loose_0005,Good for digital collection,Grocer's business card with handwritten notes,,1:4,,,
loose_0006,OK for collection,"Bill, Tom, John",,1:4,,,
loose_0007,OK for collection,,,1:4,,,
loose_0008,Good for digital collection,Document with Auto part prices on one side and info about law making and the powers of Congress on the other,,1:4,,,
loose_0009,Good for digital collection,Chicago Restaurant business card,,1:4,,,
loose_0010,Good for digital collection,Clipping with Casa Nello's ad and menu,1947,1:4,,,
loose_0011,OK for collection,paper scrap,,1:8,,,
loose_0012,OK for collection,paper scrap,,1:8,,,
loose_0013,OK for collection,Salvation Army business card,,1:8,,,
loose_0014,OK for collection,Well Fargo business card,,1:8,,,
loose_0015,OK for collection,,,1:8,,,
loose_0016,OK for collection,,,1:8,,,
loose_0017,OK for collection,General election ballot receipt 1988 (redundant with 0018,,1:8,,,
loose_0018,OK for collection,General election ballot receipt 1988 (redundant with 0018,,1:8,,,
loose_0019,OK for collection,Minnie Fong temp drivers license 1945,,1:8,,,
loose_0020,OK for collection,Minnie Fong temp drivers license 1945,,1:8,,,
loose_0021,OK for collection,Chinese proverb--add to digital coll only if personally significant,,1:8,,,
loose_0022,Good for digital collection,Mailed envelope addressed to Bemil Fong,1946,1:8,,,
loose_0023,Good for digital collection,Mailed envelope addressed to Bemil Fong,1948,1:8,,,
loose_0024,Good for digital collection,Mailed envelope addressed to the Chicago Restaurant,12-11-1943,1:8,"[0026 verso image is missing--file naming becomes misaligned here. Hereafter, the verso number corresponds only]Ask John if a file for loose_0026 exists",Probably missed in digitization; Kevin can provide the physical item for scanning the verso,grab physical replace place holder
loose_0025,Good for digital collection,Pak-a-pu Chinese lottery ticket from San Francisco Chinatown Night Market,11-09-1945,1:8,Featured Item,,
loose_0026,Good for digital collection,Handwritten list of ingredients in Chinese,,1:8,,,
loose_0027,Good for digital collection,Mailed envelope addressed to the Chicago Cafe,1946,1:8,,,
loose_0028,Good for digital collection,Menu clipping from unidentified restaurant,,1:8,[misalignment corrected with this item],,
loose_0029,Good for digital collection,"Handwritten notes in Chinese listing dates, mostly 1940s, possibly related to immigration",,Digital only,File naming becomes misaligned here; the verso corresponds to the file name,,
loose_0030,OK for collection,Handwritten Chinese--don't know context or translation,,Digital only,,,
loose_0031,OK for collection,Birth certificate for Paul's sister,,Digital only,,,
loose_0032,Good for digital collection,Chicago Cafe menu,,1:8,,,
loose_0033,Good for digital collection,Chicago Restaurant menu,,1:8,,,
loose_0034,Good for digital collection,Chicago Cafe menu,01-02-1944,1:8,,,
loose_0035,Good for digital collection,Chicago Cafe menu,01-02-1944,1:8,,,
loose_0036,Good for digital collection,Chicago Cafe menu,09-27-1942,1:8,,,
loose_0037,Good for digital collection,Chicago Cafe menu,09-27-1942,1:8,,,
loose_0038,Good for digital collection,Partly typed partly handwritten menu or list of dishes,,1:8,,,
,Not relevant deaccession,verso (blank piece of paper?),,1:8,,,John Deleted
loose_0039,Good for digital collection,Menu with handwritten annotations in Chinese,,1:8,,,
loose_0040,OK for collection,Paper scrap with sparse notes,,1:8,,,
loose_0041,Good for digital collection,Chicago Cafe menu,09-28-1958,1:8,,,
loose_0042,Good for digital collection,Chicago Cafe menu,09-24-1958,1:8,,,
loose_0043,Good for digital collection,Chicago Cafe menu,07-30-1958,1:8,,,
loose_0044,Good for digital collection,Chicago Cafe menu,08-22-1952,1:8,,,
loose_0045,Good for digital collection,Chicago Cafe menu,09-14-1958,1:8,,,
loose_0046,Good for digital collection,Chicago Cafe menu,08-10-1958,1:8,,,
loose_0047,Good for digital collection,Chicago Cafe menu,08-06-1958,1:8,,,
loose_0048,Good for digital collection,Chicago Cafe menu,08-04-1958,1:8,,,
loose_0049,Good for digital collection,Chicago Cafe menu,07-10-1955,1:8,,,
loose_0050,Good for digital collection,Chicago Cafe Christmas menu,12-25-1956,1:8,,,
loose_0051,Good for digital collection,Chicago Cafe Thanksgiving menu,11-24-1955,1:8,,,
loose_0052,Good for digital collection,Chicago Cafe menu,07-20-1955,1:8,,,
loose_0053,Good for digital collection,Chicago Cafe Thanksgiving menu,11-27-1952,1:8,,,
loose_0054,Good for digital collection,Chicago Cafe Thanksgiving menu,11-27-1952,1:8,,,
loose_0055,Good for digital collection,Chicago Cafe Thanksgiving menu,11-24-1955,1:8,,,
loose_0056,Good for digital collection,Chicago Cafe menu,07-30-1955,1:8,,,
loose_0057,Good for digital collection,Chicago Cafe menu,05-24-1952,1:8,,,
loose_0058,Good for digital collection,Chicago Cafe menu,04-24-1952,1:8,,,
loose_0059,Good for digital collection,Chicago Cafe Christmas menu,12-25-1955,1:8,Featured item,,
loose_0060,Good for digital collection,Chicago Cafe Christmas menu,12-25-1955,1:8,,,
loose_0061,Good for digital collection,Chicago Cafe Christmas menu,12-25-1958,1:8,,,
loose_0062,Good for digital collection,Chicago Cafe Thanksgiving menu,11-27-1958,1:8,,,
loose_0063,Good for digital collection,Generic menu with annotations,,1:8,,,
loose_0064,OK for collection,Generic menu,,1:8,,,
loose_0065,Good for digital collection,"Generic menu (identical to 064, minus corner tear on 064",,1:8,,,
loose_0066,Good for digital collection,Blue Seal Bread paper cook's hat,,1:5,,,
loose_0067,Good for digital collection,"Blue Seal Bread paper cook's hat 2 (not duplicate photos, two items that were slightly different were present) ",,,,,
loose_0068,Good for digital collection,Chicago Chop Suey Cafe menu,,1:11,1920s - 1940s based on address and phone number; May be missing China Dishes part of the menu. ,,
loose_0069,Good for digital collection,Chicago Cafe menu,07-25-1955,1:11,,,
loose_0070,Good for digital collection,Chicago Cafe menu,07-24-1955,1:11,,,
loose_0071,Good for digital collection,Chicago Cafe menu,07-27-1955,1:11,,,
loose_0072,Good for digital collection,Chicago Cafe menu,07-26-1955,1:11,,,
loose_0073,Good for digital collection,Chicago Cafe menu,07-23-1955,1:11,,,
loose_0074,Good for digital collection,Chicago Cafe menu,07-28-1955,1:11,,,
loose_0075,Good for digital collection,Chicago Cafe menu,07-29-1955,1:11,,,
loose_0076,OK for collection,Menu (very faded),,1:11,,,
loose_0077,Good for digital collection,Chicago Cafe menu,07-18-1955,1:11,,,
loose_0078,Good for digital collection,Chicago Cafe menu,07-21-1955,1:11,,,
loose_0079,Good for digital collection,Chicago Cafe menu,07-19-1955,1:11,,,
loose_0080,Good for digital collection,Chicago Cafe Thanksgiving menu,,1:11,1953 or 1959 (probably 1959),,
loose_0081,Good for digital collection,Chicago Cafe Christmas menu,,1:11,1959?,,
loose_0082,OK for collection,verso (part of a carbon paper package),,1.11,Used as a makeshift menu folder for the stack of 1933 menus,,
loose_0083,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-03-1933,1:11,,,
loose_0084,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-10-1933,1:11,,,
loose_0085,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-10-1933,1:11,,,
loose_0086,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-12-1933,1:11,,,
loose_0087,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-18-1933,1:11,,,
loose_0088,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-13-1933,1:11,,,
loose_0089,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-09-1933,1:11,,,
loose_0090,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-14-1993,1:11,,,
loose_0091,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-15-1933,1:11,,,
loose_0092,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-16-1933,1:11,,,
loose_0093,Good for digital collection,Unidentified menu (likely Chicago Cafe),11-17-1933,1:11,,,
loose_0094,Good for digital collection,Partial Chicago Cafe menu: China Dishes,,1:10,,,
loose_0095,OK for collection,verso,,1.7,,,
loose_0096,OK for collection,verso (airmail stamps),,1.7,,,
loose_0097,OK for collection,verso here and down until noted otherwise,,1.7,,,
loose_0098,OK for collection,Dennison Nature Seals,,Digital only,,,
loose_0099,Good for digital collection,Donation receipt for John Yee for the Confucius Church of Sacramento,08-22-1956,1.7,,,
loose_0100,Good for digital collection,Mailed envelope addressed to the Chicago Cafe,,1.7,,,
loose_0101,Good for digital collection,Mailed envelope addressed to the Chicago Cafe,,1.7,,,
loose_0102,OK for collection,Unlabeled airmail envelope,,1.7,,,
loose_0103,OK for collection,Unlabeled airmail envelope,,1.7,,,
loose_0104,Good for digital collection,Envelope addressed from Wing Yet to Hon Hing Lung,,1.7,,,
loose_0105,Good for digital collection,Clipping advertisement for the Chicago Restaurant with photo of proprietors behind the counter,10-25-1963,1.7,,,
loose_0106,OK for collection,Map of Sunnyvale,,Digital only,significance not clear,,
loose_0107,Good for digital collection,Unidentified menu (likely Chicago Cafe),,1:23,,,
loose_0108,Good for digital collection,Clipping of Miss America photograph,1944,1:24,,,
loose_0109,Good for digital collection,Photo of ad page in the The Ilex (Woodland High School) featuring Chicago Restaurant,1915,Digital only,,,
loose_0110,Good for digital collection,Photo detail of Chicago Restaurant ad in The Ilex (Woodland High School),1915,Digital only,,,
loose_0111,OK for collection,,,Digital only,,,
loose_0112,OK for collection,,,Digital only,,,
loose_0113,Good for digital collection,Photo of The Ilex (Woodland High School) cover,1915,Digital only,,,
loose_0114,Good for digital collection,Chicago Cafe meal ticket for $20,,Digital only,Probably early 1950s (1953 - 1955) based on phone number,,
loose_0115,Good for digital collection,Chicago Cafe meal ticket for $10,,Digital only,Probably early 1950s (1953 - 1955) based on phone number,,
loose_0116,Good for digital collection,Chicago Cafe meal ticket for $10,,Digital only,Probably early 1950s (1953 - 1955) based on phone number,,
loose_0117,OK for collection,,,2,,,
loose_0118,OK for collection,,,2,,,
loose_0119,OK for collection,,,2.3,,,
loose_0120,Good for digital collection,Chicago Restaurant business card ,,1:21,,,"was originall in Grouped 20, seperated out"
loose_0121,OK for collection,"Chicago Restaurant Since 1903 Business card, nearly identical to 121",,1:21,,,"was originall in Grouped 20, seperated out"
loose_0122,Good for digital collection,Chicago Cafe guest check ,,1:21,,,"was originall in Grouped , seperated out"
loose_0123,Good for digital collection,"Golden Wok Restaurant (Sacramento, CA) Menu ",,1:23,,,"was originall in Grouped 55, seperated out"
Moved to Grouped and renamed ,,,,,,,
loose_0004,Good for digital collection,Chicago Cafe menu (part 1),,1.2,1920s - 1940s based on address and phone number--combine?,John,Became Grouped_118
loose_0005,Good for digital collection,Chicago Cafe menus (part 2),,1.2,1920s - 1940s based on address and phone number--combine? Featured item,John,Became Grouped_118
loose_0028,Good for digital collection,War Ration Stamp booklet,05-07-1942,1:8,[three images],John will move to Grouped,Chicago_Cafe_Grouped_117
loose_0030,Good for digital collection,"Canton Restaurant (Woodland, CA) menu",,1:8,[three images],John will move to Grouped,Became Grouped_119
loose_0068,Good for digital collection,Chicago Cafe menu,,1:3,1920s - 1940s based on address and phone number; Part of 1 menu?--combine,,became Grouped_120
loose_0069,Good for digital collection,Chicago Cafe menu,,1:3,1920s - 1940s based on address and phone number; Part of 2 menu?--combine,,became Grouped_120
loose_0112,Good for digital collection,"Letter from the Mandarin Cafe (Waterloo, IA) to the Chicago Cafe in Chinese",12-11-1945,1.7,Goes with 0113,John: new grouped item,became Grouped_121
loose_0113,Good for digital collection,Envelope for the Mandarin Cafe letter,12-11-1945,1.7,Envelope for 0112,John: new grouped item,became Grouped_121
loose_0116,Good for digital collection,"Letter to Cobb Block partners, including the Chicago Cafe",1986,Digital only,,John: new grouped item,became Grouped_122
loose_0117,Good for digital collection,Goes with 0116,,Digital only,Should be combined with 0116,John: new grouped item,became Grouped_122
loose_0118,Good for digital collection,"Goes with 0116 (mentions structure behind Chicago Cafe as ""oldest Chinese structure"")",,Digital only,Should be combined with 0116,John: new grouped item,became Grouped_122